City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-02-07 02:55:20,-23.1203,-134.9692,79.02,72,16,18.75
1,Black Forest,US,2022-02-07 02:56:10,39.0131,-104.7008,26.6,69,0,1.01
2,Mataura,NZ,2022-02-07 02:56:10,-46.1927,168.8643,60.48,34,8,2.75
3,Natchitoches,US,2022-02-07 02:56:11,31.7668,-93.1335,40.05,75,0,0.0
4,Punta Arenas,CL,2022-02-07 02:56:11,-53.15,-70.9167,53.71,82,75,6.91
5,Hlotse,LS,2022-02-07 02:56:11,-28.8718,28.045,54.97,87,27,0.13
6,Lavrentiya,RU,2022-02-07 02:53:59,65.5833,-171.0,-15.63,95,56,5.19
7,Norman Wells,CA,2022-02-07 02:55:40,65.282,-126.8329,-12.96,70,100,17.27
8,Chokurdakh,RU,2022-02-07 02:56:12,70.6333,147.9167,-39.73,99,79,3.85
9,East London,ZA,2022-02-07 02:56:13,-33.0153,27.9116,71.38,82,100,7.52
10,Cidreira,BR,2022-02-07 02:55:33,-30.1811,-50.2056,68.22,74,8,7.81
11,Ushuaia,AR,2022-02-07 02:53:20,-54.8,-68.3,60.46,67,75,12.66
12,Bredasdorp,ZA,2022-02-07 02:55:45,-34.5322,20.0403,65.28,88,13,5.75
13,Katsuura,JP,2022-02-07 02:56:13,35.1333,140.3,46.51,31,16,4.5
14,Grindavik,IS,2022-02-07 02:52:52,63.8424,-22.4338,32.47,100,100,48.34
15,Beloha,MG,2022-02-07 02:56:14,-25.1667,45.05,73.96,93,100,12.73
16,Gat,IL,2022-02-07 02:52:53,31.61,34.7642,54.39,100,6,6.8
17,Tornio,FI,2022-02-07 02:56:14,65.8481,24.1466,30.22,94,100,9.42
18,Ust-Kuyga,RU,2022-02-07 02:56:14,70.0167,135.6,-33.5,98,100,4.81
19,La Paz,BO,2022-02-07 02:54:58,-16.5,-68.15,46.38,93,75,2.3
20,Georgetown,MY,2022-02-07 02:56:15,5.4112,100.3354,84.13,80,20,1.01
21,Sao Jose Da Coroa Grande,BR,2022-02-07 02:56:15,-8.8978,-35.1478,79.48,72,51,6.91
22,Tiksi,RU,2022-02-07 02:56:16,71.6872,128.8694,-17.37,98,100,6.26
23,Kupang,ID,2022-02-07 02:56:16,-10.1667,123.5833,85.05,73,36,9.15
24,Bluff,NZ,2022-02-07 02:56:17,-46.6,168.3333,60.8,66,0,13.38
25,Ostrovnoy,RU,2022-02-07 02:56:17,68.0531,39.5131,11.53,88,16,18.66
26,Sept-Iles,CA,2022-02-07 02:51:20,50.2001,-66.3821,4.05,79,100,5.75
27,Sao Joao Da Barra,BR,2022-02-07 02:54:26,-21.6403,-41.0511,76.17,88,2,18.68
28,Barra Do Garcas,BR,2022-02-07 02:56:18,-15.89,-52.2567,72.81,97,99,3.4
29,New Norfolk,AU,2022-02-07 02:53:33,-42.7826,147.0587,77.88,31,0,3.0
30,Iglesias,IT,2022-02-07 02:56:18,39.3114,8.535,48.76,76,63,15.43
31,Mar Del Plata,AR,2022-02-07 02:52:06,-38.0023,-57.5575,65.08,77,40,5.01
32,Flinders,AU,2022-02-07 02:55:08,-34.5833,150.8552,74.48,67,44,7.0
33,Avarua,CK,2022-02-07 02:54:52,-21.2078,-159.775,80.65,69,75,11.5
34,San Agustin,MX,2022-02-07 02:56:19,20.5333,-103.4667,66.51,33,97,5.41
35,Camapua,BR,2022-02-07 02:56:19,-19.5314,-54.0439,71.94,96,100,5.64
36,Margate,GB,2022-02-07 02:53:15,51.3813,1.3862,41.88,69,5,10.0
37,Tilichiki,RU,2022-02-07 02:56:20,60.4667,166.1,-4.72,79,1,8.61
